1773679388.9754443 [INFO] [launch]: All log files can be found below /home/jia/.ros/log/2026-03-17-00-43-08-974608-LAPTOP-QBFAPHDE-17835
1773679388.9755764 [INFO] [launch]: Default logging verbosity is set to INFO
1773679404.8454566 [INFO] [component_container_isolated-1]: process started with pid [17868]
1773679404.8455944 [INFO] [rviz2-2]: process started with pid [17870]
1773679405.4853077 [INFO] [launch_ros.actions.load_composable_nodes]: Loaded node '/map_server' in container '/nav2_container'
1773679406.7387178 [INFO] [launch_ros.actions.load_composable_nodes]: Loaded node '/controller_server' in container '/nav2_container'
1773679406.8497941 [INFO] [launch_ros.actions.load_composable_nodes]: Loaded node '/amcl' in container '/nav2_container'
1773679407.2292218 [INFO] [launch_ros.actions.load_composable_nodes]: Loaded node '/smoother_server' in container '/nav2_container'
1773679407.3020854 [INFO] [launch_ros.actions.load_composable_nodes]: Loaded node '/lifecycle_manager_localization' in container '/nav2_container'
1773679407.7468936 [INFO] [launch_ros.actions.load_composable_nodes]: Loaded node '/planner_server' in container '/nav2_container'
1773679408.0802400 [INFO] [launch_ros.actions.load_composable_nodes]: Loaded node '/behavior_server' in container '/nav2_container'
1773679408.1177623 [INFO] [launch_ros.actions.load_composable_nodes]: Loaded node '/bt_navigator' in container '/nav2_container'
1773679408.2436669 [INFO] [launch_ros.actions.load_composable_nodes]: Loaded node '/waypoint_follower' in container '/nav2_container'
1773679408.2699351 [INFO] [launch_ros.actions.load_composable_nodes]: Loaded node '/velocity_smoother' in container '/nav2_container'
1773679408.3009186 [INFO] [launch_ros.actions.load_composable_nodes]: Loaded node '/lifecycle_manager_navigation' in container '/nav2_container'
1773679755.1784673 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.2098196 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.2413068 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.2726679 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.3042369 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.3355675 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.3671029 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.3986604 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.4300854 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.4617407 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.4930582 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.5244782 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.5559380 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.5879133 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.6191335 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.6507523 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679755.6820943 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679757.9283483 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679759.2398572 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679765.7081134 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679767.2654498 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679767.7671976 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679767.9924622 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679768.2149720 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679768.4490607 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679768.6779449 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679768.9477890 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679769.2376788 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679769.5799992 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679889.2425787 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679890.6593988 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679892.0421164 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679908.3040206 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679909.9430828 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679910.1982176 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679910.4314401 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679910.6620007 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679910.8803098 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679911.0970891 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679911.2911513 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679911.9207637 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679911.9525237 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679911.9842002 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679912.0143600 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679912.0469668 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679912.0779395 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679912.1096532 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679912.1411262 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679912.1723709 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679912.2047274 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679912.2369370 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679912.2666695 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679912.2985640 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679912.3312004 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679912.3606780 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679912.3919637 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679912.4235270 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679912.4553537 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679912.4865115 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679912.5182438 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679912.5497999 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679912.5819674 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679912.6130393 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679912.6441832 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679912.6763394 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679912.7073562 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679912.7385714 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679912.7699232 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1773679912.8014886 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
